,actor_1_name,profit_millions,VAR
56,Dane Cook,-3.3089499999999994,-0.31246118596483385
71,Eddie Redmayne,-3.4540999999999995,-0.32616757051062506
221,Vivica A. Fox,-3.5767375,-0.3377481198370768
215,Topher Grace,-3.703566666666666,-0.3497244844940217
82,George Kennedy,-3.724966666666667,-0.3517452673343934
81,Gary Oldman,-4.1061999999999985,-0.3877447896791431
78,Frances Fisher,-4.227366666666668,-0.39918644953077975
107,Jeremy Irvine,-4.331700000000001,-0.4090385527867969
5,Al Pacino,-4.348420000000002,-0.4106174074172181
152,Michael Biehn,-4.454675,-0.4206509719360814
88,Heath Ledger,-4.53292,-0.42803957723257074
195,Samantha Morton,-4.6476,-0.4388687069584497
59,David Oyelowo,-4.708983333333333,-0.44466508016802014
84,Haley Joel Osment,-5.148380000000001,-0.486156914005238
217,Vanessa Redgrave,-5.616266666666667,-0.530339033035081
220,Vin Diesel,-5.675019999999999,-0.535887057699316
109,Jet Li,-5.939633333333332,-0.5608742578550878
9,Alexander Skarsgård,-5.9501,-0.5618626158175126
30,Brad Pitt,-6.338766666666668,-0.5985640611737936
141,Logan Lerman,-6.628883333333332,-0.625959518262849
169,Nicolas Cage,-6.945281481481481,-0.6558367121181349
189,Rosario Dawson,-6.9876454545454525,-0.659837104165688
190,Rufus Sewell,-7.047433333333335,-0.6654828200309575
144,Martin Landau,-7.070125000000002,-0.6676255737982206
60,Demi Moore,-7.480500000000001,-0.7063769176354857
61,Dennis Quaid,-7.731563636363635,-0.7300846320375846
191,Rupert Grint,-7.8828,-0.744365746452377
92,Ioan Gruffudd,-8.336225000000002,-0.7871822632465582
200,Stephen Graham,-8.567366666666667,-0.8090087638865056
219,Viggo Mortensen,-9.1555,-0.8645456679916702
177,Paddy Considine,-9.250966666666665,-0.8735604998527667
91,Hugh Jackman,-9.50887142857143,-0.8979142156147882
77,Fisher Stevens,-9.7168,-0.9175487244543127
159,Milla Jovovich,-9.844338461538463,-0.929592067190963
38,Catherine O'Hara,-10.125880000000002,-0.9561777826010043
105,Jennifer Jason Leigh,-10.402660000000001,-0.9823138701971742
151,Michael Angarano,-10.518699999999999,-0.9932714235054317
165,Naomi Watts,-10.58415,-0.9994518084074092
70,Eddie Cibrian,-10.6742,-1.0079551492847671
102,Jeff Bridges,-10.725792857142858,-1.0128270165931796
134,LL Cool J,-10.74915,-1.0150326106813021
72,Emily Watson,-10.81735,-1.0214726756211778
225,Woody Allen,-10.964159999999998,-1.0353358124807546
110,Jim Broadbent,-11.029009090909096,-1.041459454075278
50,Clifton Collins Jr.,-12.2917,-1.1606942261212618
41,Charlize Theron,-12.500333333333336,-1.1803952849964732
201,Stephen Root,-13.103200000000001,-1.2373234445774075
69,Ed Begley Jr.,-14.015175000000001,-1.3234404273273068
119,Jon Lovitz,-14.439075,-1.3634689248055076
32,Brendan Fraser,-15.12251666666667,-1.42800570949686
210,Toby Jones,-15.536460000000002,-1.4670940078560282
188,Robin Wright,-16.7862125,-1.5851070175154416
207,Taylor Negron,-16.819633333333332,-1.5882629168851103
161,Mira Sorvino,-17.1408,-1.6185903976747986
112,Jim Sturgess,-18.2424,-1.7226134994015885
198,Sean Pertwee,-19.5514,-1.8462211974411382
208,Tim Blake Nelson,-21.582100000000004,-2.037978380335648
42,Charlotte Rampling,-22.825699999999998,-2.1554104149284545
64,Dominic Cooper,-22.848699999999997,-2.15758228433633
113,Jimmy Bennett,-24.064214285714286,-2.272362210074551
54,Connie Nielsen,-25.49225,-2.4072103440402657
19,Anthony Hopkins,-27.23044615384616,-2.5713466506240112
40,Charlie Hunnam,-32.76662,-3.0941225903259486
48,Christoph Waltz,-34.71248,-3.2778684079785365
182,Ray Winstone,-45.478575,-4.294501119838815
